,Date,Close_AAL,Volume_AAL,Close_ALGT,Volume_ALGT,Close_ALK,Volume_ALK,Close_DAL,Volume_DAL,Close_HA,Volume_HA,Close_LUV,Volume_LUV,Close_BCS,Volume_BCS,Close_CS,Volume_CS,Close_DB,Volume_DB,Close_GS,Volume_GS,Close_MS,Volume_MS,Close_WFC,Volume_WFC,Close_BHC,Volume_BHC,Close_JNJ,Volume_JNJ,Close_MRK,Volume_MRK,Close_PFE,Volume_PFE,Close_RHHBY,Volume_RHHBY,Close_UNH,Volume_UNH,Close_AAPL,Volume_AAPL,Close_AMZN,Volume_AMZN,Close_FB,Volume_FB,Close_GOOG,Volume_GOOG,Close_IBM,Volume_IBM,Close_MSFT,Volume_MSFT,Close_SP500,Volume_SP500
0,18-05-2012,10.06,10813400,62.310001,167000.0,16.17,2745800.0,10.14,18994600.0,5.28,525400.0,8.15,15571300.0,10.285714,6799000.0,19.169922,5598100.0,34.370228,3206500.0,95.489998,7184700.0,13.35,37704200.0,30.940001,53576100.0,47.029999,2485300.0,63.349998,13781300.0,37.82,18690600.0,22.57,41817300.0,20.16,1122000.0,53.990002,6420400.0,18.942142,732292400,213.850006,5231700.0,38.23,573576400.0,299.078979,11991700.0,195.880005,5737100.0,29.27,56205300.0,1295.219971,4512470000
1,21-05-2012,10.71,8290100,62.66,150600.0,16.379999,1361600.0,10.58,14203200.0,5.32,327100.0,8.34,12843800.0,10.672812,4476600.0,19.541016,2003100.0,35.505726,3511500.0,96.510002,5314700.0,13.19,32394400.0,31.4,30865500.0,47.189999,3329800.0,63.470001,8784900.0,37.599998,9300000.0,22.540001,36866800.0,20.389999,438000.0,55.549999,4825900.0,20.045713,631106000,218.110001,3579800.0,34.029999,168192700.0,305.908386,6173800.0,197.759995,3831700.0,29.75,38787900.0,1315.98999,3786750000
2,22-05-2012,10.62,6227400,62.349998,125500.0,16.225,1003600.0,10.54,12860300.0,5.23,296000.0,8.27,10105100.0,10.857142,4883500.0,19.863281,3199100.0,35.410305,3134000.0,97.529999,5839700.0,13.31,35996700.0,31.67,30213700.0,47.779999,2270200.0,63.52,8409300.0,37.459999,12327600.0,22.370001,35307900.0,20.43,625400.0,55.720001,5832200.0,19.891787,694870400,215.330002,3733100.0,31.0,101786600.0,299.278229,6126600.0,196.820007,3567100.0,29.76,39504900.0,1316.630005,4123680000
3,23-05-2012,11.0,7233000,62.990002,166000.0,16.115,1626000.0,10.74,9144000.0,5.38,348000.0,8.36,11985600.0,10.737328,4385300.0,19.765625,2216600.0,35.38168,1991200.0,98.040001,5469700.0,13.37,47059000.0,31.74,30587800.0,46.650002,1978000.0,63.27,11269100.0,37.34,11236800.0,22.09,52062000.0,20.075001,600200.0,55.360001,4671800.0,20.377142,584897600,217.279999,4243800.0,32.0,73600000.0,303.592072,6379900.0,196.119995,4100000.0,29.110001,65171000.0,1318.859985,4108330000
4,24-05-2012,12.16,17085400,64.25,148000.0,16.92,1953800.0,11.27,19379500.0,5.68,567300.0,8.74,15191400.0,10.746544,4550500.0,19.658203,1432400.0,34.828243,1662700.0,96.860001,5177300.0,13.31,26212200.0,31.809999,23765100.0,48.040001,1905800.0,63.099998,9309400.0,37.599998,8651700.0,22.139999,26165200.0,19.855,590600.0,56.220001,7192400.0,20.190001,496230000,215.240005,3141100.0,33.029999,50237200.0,300.702881,3796600.0,196.089996,3569300.0,29.07,52575000.0,1320.680054,3937670000
5,25-05-2012,12.3,8341300,64.040001,232900.0,16.98,1156600.0,11.37,11596300.0,5.68,614500.0,8.76,8332700.0,10.534562,4618400.0,19.306641,1498400.0,35.0,1158700.0,96.699997,3096000.0,13.25,16627700.0,31.860001,18935300.0,48.48,1350100.0,62.509998,11208500.0,37.549999,6591600.0,22.129999,19415200.0,19.905001,557000.0,56.119999,4306500.0,20.081785,328507200,212.889999,2171400.0,31.91,37149800.0,294.660553,7190500.0,194.300003,2901900.0,29.059999,29507200.0,1317.819946,2872660000
6,29-05-2012,12.62,7147600,63.900002,124300.0,17.065001,1466600.0,11.8,18680200.0,5.68,497500.0,8.94,6269200.0,10.654378,8472000.0,19.296875,1934200.0,34.980915,1527400.0,97.860001,4528000.0,13.64,18585300.0,32.25,20188900.0,48.400002,896900.0,62.59,10089700.0,37.59,8792400.0,22.18,30743200.0,19.924999,948600.0,56.150002,5005900.0,20.438213,380508800,214.75,2693900.0,28.84,78063400.0,296.060303,5230900.0,196.460007,3618500.0,29.559999,37758800.0,1332.420044,3441640000
7,30-05-2012,12.69,8895400,63.900002,206600.0,16.809999,1373200.0,11.75,13803100.0,5.57,345500.0,8.87,8917700.0,10.29493,4391800.0,18.886719,1694500.0,34.017174,1347000.0,94.610001,5713200.0,13.09,24816700.0,31.700001,28690800.0,47.919998,1057700.0,62.209999,9414700.0,37.400002,9668200.0,22.040001,21540700.0,19.584999,1490200.0,56.169998,4398100.0,20.684643,529429600,209.229996,4078200.0,28.190001,57267900.0,293.016693,3827600.0,194.529999,3602500.0,29.34,41585500.0,1313.319946,3534290000
8,31-05-2012,13.22,9914700,64.849998,230000.0,17.15,2012400.0,12.1,20830500.0,5.78,833100.0,9.03,13249800.0,10.184332,6500100.0,18.681641,1960800.0,34.332062,1890400.0,95.699997,4833000.0,13.36,29034200.0,32.049999,31879900.0,48.66,2149000.0,62.43,13297100.0,37.580002,13443100.0,21.870001,54902100.0,19.584999,590600.0,55.77,6343300.0,20.633215,491674400,212.910004,4944000.0,29.6,111639200.0,289.345459,5958800.0,192.899994,9287500.0,29.190001,39134000.0,1310.329956,4557620000
9,01-06-2012,12.64,11998500,64.0,138900.0,16.905001,1491800.0,11.51,17554100.0,5.64,463400.0,8.95,14893800.0,9.870968,5861600.0,18.535156,2725300.0,31.87977,2917600.0,92.639999,5384700.0,12.73,31752500.0,30.16,50519500.0,47.0,2316500.0,61.779999,12061100.0,37.18,13371600.0,21.639999,43558600.0,19.469999,542600.0,55.040001,5703900.0,20.035357,520987600,208.220001,3951500.0,27.719999,41855500.0,284.42392,6138700.0,189.080002,5206400.0,28.450001,56634300.0,1278.040039,4669350000
10,04-06-2012,11.18,13603800,62.259998,260200.0,16.18,1725800.0,10.18,29678300.0,5.49,538200.0,8.6,13432900.0,9.9447,4471500.0,18.691406,1861900.0,32.700382,3081300.0,91.0,5332600.0,12.36,23735500.0,30.049999,37812600.0,46.509998,1695600.0,62.34,9200000.0,37.459999,10915800.0,21.610001,27525500.0,19.43,1511000.0,54.91,5508000.0,20.153214,556995600,214.570007,4299600.0,26.9,35230300.0,288.214691,4883500.0,188.539993,4624500.0,28.549999,47926300.0,1278.180054,4011960000
11,05-06-2012,11.62,5680300,62.419998,267000.0,16.315001,1301000.0,10.58,11215400.0,5.6,489900.0,8.66,8786700.0,10.101382,4486300.0,18.720703,1654100.0,32.709923,2559800.0,92.209999,4682900.0,12.86,25264700.0,30.52,24618000.0,47.48,1790600.0,62.209999,9523400.0,37.5,10560500.0,21.6,30825800.0,19.5,392200.0,56.040001,6112200.0,20.101072,388214400,213.210007,3543900.0,25.870001,42473400.0,284.139984,4697200.0,189.199997,3556500.0,28.51,45715400.0,1285.5,3403230000
12,06-06-2012,11.78,5216300,63.459999,137800.0,16.735001,1215200.0,10.61,14791800.0,5.76,312600.0,8.8,10001800.0,10.912442,6798000.0,19.736328,2865900.0,34.236641,3062700.0,94.959999,6399600.0,13.94,39047100.0,30.969999,38718500.0,48.279999,1449800.0,62.799999,11562500.0,37.900002,12613900.0,21.91,34786900.0,20.1,442600.0,57.700001,6776600.0,20.409286,401455600,217.639999,2710100.0,26.809999,61489200.0,289.200989,4207200.0,193.990005,3641300.0,29.35,46860500.0,1315.130005,4268360000
